Qsort_Numb, Qsort_Time, Qsort_Iterations, Bubble_Numb, Bubble_Time, Bubble_Iterations, BinarySort_Time, BinarySort_Iterations, LinearSearch_Time, LinearSearch_Iterations
1000, 0.0001828s, 0000000000000000, 1000, 0.010032s, 0000000000000000, 8e-07s, 0000000000000000, 1e-06s, 500
2000, 0.0003614s, 0000000000000000, 2000, 0.0396004s, 0000000000000000, 8e-07s, 0000000000000000, 2.5e-06s, 1000
3000, 0.0007711s, 0000000000000000, 3000, 0.0887037s, 0000000000000000, 7e-07s, 0000000000000000, 2.4e-06s, 1500
4000, 0.0008562s, 0000000000000000, 4000, 0.156637s, 0000000000000000, 7e-07s, 0000000000000000, 3e-06s, 2000
5000, 0.0010425s, 0000000000000000, 5000, 0.242821s, 0000000000000000, 7e-07s, 0000000000000000, 3.9e-06s, 2500
6000, 0.0012384s, 0000000000000000, 6000, 0.352836s, 0000000000000000, 1e-06s, 0000000000000000, 4.5e-06s, 3000
7000, 0.0015324s, 0000000000000000, 7000, 0.480207s, 0000000000000000, 7e-07s, 0000000000000000, 5.5e-06s, 3500
8000, 0.0018204s, 0000000000000000, 8000, 0.631132s, 0000000000000000, 9e-07s, 0000000000000000, 6e-06s, 4000
9000, 0.0021198s, 0000000000000000, 9000, 0.791955s, 0000000000000000, 8e-07s, 0000000000000000, 6.5e-06s, 4500
10000, 0.0023509s, 0000000000000000, 10000, 0.986265s, 0000000000000000, 8e-07s, 0000000000000000, 7.6e-06s, 5000
11000, 0.0024633s, 0000000000000000, 11000, 1.17996s, 0000000000000000, 8e-07s, 0000000000000000, 8.7e-06s, 5500
12000, 0.002808s, 0000000000000000, 12000, 1.39796s, 0000000000000000, 7e-07s, 0000000000000000, 8.3e-06s, 6000
13000, 0.0028794s, 0000000000000000, 13000, 1.65337s, 0000000000000000, 8e-07s, 0000000000000000, 9.6e-06s, 6500
14000, 0.0033103s, 0000000000000000, 14000, 1.91912s, 0000000000000000, 8e-07s, 0000000000000000, 1.06e-05s, 7000
15000, 0.0034373s, 0000000000000000, 15000, 2.22114s, 0000000000000000, 9e-07s, 0000000000000000, 1.15e-05s, 7500
16000, 0.003606s, 0000000000000000, 16000, 2.50893s, 0000000000000000, 8e-07s, 0000000000000000, 1.17e-05s, 8000
17000, 0.0041229s, 0000000000000000, 17000, 2.82342s, 0000000000000000, 8e-07s, 0000000000000000, 1.27e-05s, 8500
18000, 0.0043232s, 0000000000000000, 18000, 3.19355s, 0000000000000000, 8e-07s, 0000000000000000, 1.35e-05s, 9000
19000, 0.0046884s, 0000000000000000, 19000, 3.55475s, 0000000000000000, 7e-07s, 0000000000000000, 1.41e-05s, 9500
20000, 0.004784s, 0000000000000000, 20000, 3.94095s, 0000000000000000, 8e-07s, 0000000000000000, 1.53e-05s, 10000
21000, 0.0052333s, 0000000000000000, 21000, 4.27103s, 0000000000000000, 9e-07s, 0000000000000000, 1.52e-05s, 10500
22000, 0.0054792s, 0000000000000000, 22000, 4.742s, 0000000000000000, 8e-07s, 0000000000000000, 1.64e-05s, 11000
23000, 0.006113s, 0000000000000000, 23000, 5.15928s, 0000000000000000, 9e-07s, 0000000000000000, 1.66e-05s, 11500
24000, 0.0058784s, 0000000000000000, 24000, 5.65528s, 0000000000000000, 1.2e-06s, 0000000000000000, 1.78e-05s, 12000
25000, 0.0063382s, 0000000000000000, 25000, 6.13582s, 0000000000000000, 1.1e-06s, 0000000000000000, 1.84e-05s, 12500
26000, 0.0064504s, 0000000000000000, 26000, 6.6612s, 0000000000000000, 9e-07s, 0000000000000000, 1.93e-05s, 13000
27000, 0.0066861s, 0000000000000000, 27000, 7.1289s, 0000000000000000, 1.2e-06s, 0000000000000000, 2e-05s, 13500
28000, 0.006997s, 0000000000000000, 28000, 7.71023s, 0000000000000000, 1e-06s, 0000000000000000, 2.04e-05s, 14000
29000, 0.0077593s, 0000000000000000, 29000, 8.29244s, 0000000000000000, 8e-07s, 0000000000000000, 2.15e-05s, 14500
30000, 0.0078745s, 0000000000000000, 30000, 8.83985s, 0000000000000000, 1.1e-06s, 0000000000000000, 2.3e-05s, 15000
31000, 0.0081913s, 0000000000000000, 31000, 9.43492s, 0000000000000000, 1.2e-06s, 0000000000000000, 2.28e-05s, 15500
32000, 0.0085043s, 0000000000000000, 