, Copy-time, QS-ops, QS-time, BS-ops, BS-time, BSearch-ops, BSearch-time, LSearch-ops, LSearch-time
1000,0,5098, 0,256078, 2,10, 0,825, 0,
2000,0,11088, 0,988666, 9,11, 0,1142, 0,
3000,0,24498, 0,2222840, 22,12, 0,413, 0,
4000,0,30547, 0,4024904, 46,12, 0,1509, 0,
5000,0,34471, 0,6274361, 60,10, 0,862, 0,
6000,0,41671, 0,8979031, 86,11, 0,2175, 0,
7000,0,54012, 0,12390254, 118,13, 0,3277, 0,
8000,0,68961, 0,15948649, 154,13, 0,2753, 0,
9000,0,81474, 0,20281358, 197,6, 0,6608, 0,
10000,0,79795, 0,24906889, 243,11, 0,5101, 0,
11000,0,89035, 0,30060506, 298,13, 0,8378, 0,
12000,0,112341, 0,35706721, 348,13, 0,4057, 0,
13000,0,104235, 0,42168076, 416,13, 0,3322, 0,
14000,0,113879, 0,49030655, 474,14, 0,2300, 0,
15000,0,140531, 1,56238052, 548,13, 0,2731, 0,
16000,0,133802, 1,64191165, 615,14, 0,10290, 0,
17000,0,140258, 1,72241438, 700,14, 0,6401, 0,
18000,0,184842, 1,80209243, 790,13, 0,8130, 0,
19000,0,162724, 1,90431636, 878,15, 0,8559, 0,
20000,0,162072, 1,100130488, 985,13, 0,13746, 0,
21000,0,168411, 1,110517400, 1097,12, 0,4279, 0,
22000,0,176778, 1,121368163, 1181,11, 0,17626, 0,
23000,0,197479, 1,133136596, 1274,15, 0,6619, 0,
24000,0,207356, 1,143793375, 1390,14, 0,20457, 0,
25000,0,195654, 1,156311274, 1514,12, 0,18620, 0,
26000,0,247770, 1,168904659, 1645,14, 0,3341, 0,
27000,0,243220, 2,182432969, 1758,14, 0,23351, 0,
28000,0,255384, 2,196731176, 1926,14, 0,9652, 0,
29000,0,273642, 2,209989237, 2104,15, 0,10629, 0,
30000,0,306059, 2,225097386, 2213,15, 0,3227, 0,
31000,0,275861, 2,239937650, 2361,15, 0,22435, 0,
32000,0,281891, 2,256100784, 2503,15, 0,12398, 0,
33000,0,304665, 2,272540482, 2681,15, 0,22897, 0,
34000,0,286235, 2,288798894, 2852,14, 0,12297, 0,
35000,0,301843, 2,306056845, 3009,14, 0,17166, 0,
36000,0,277544, 2,324759985, 3152,14, 0,13653, 0,
37000,0,340379, 2,341944088, 3369,16, 0,9509, 0,
38000,0,344337, 2,360511416, 3549,12, 0,8226, 0,
39000,0,374427, 2,381323224, 3752,11, 0,20507, 0,
40000,0,399335, 3,397912985, 3936,16, 0,27517, 0,
41000,0,377367, 3,419232256, 4206,14, 0,31906, 0,
42000,0,369810, 3,441532566, 4389,13, 0,14512, 0,
43000,0,395367, 3,461908068, 4643,15, 0,28787, 0,
44000,0,373890, 3,482307065, 4828,12, 0,8817, 0,
45000,0,527773, 3,506405204, 4949,14, 0,5060, 0,
46000,0,430327, 3,530722307, 5184,15, 0,39468, 0,
47000,0,451957, 3,551356888, 5518,16, 0,11150, 0,
48000,0,414641, 3,577254461, 5700,15, 0,41542, 0,
49000,0,534459, 4,599666920, 5923,16, 0,34432, 0,
50000,0,441875, 3,625862728, 6150,13, 0,3325, 0,
51000,0,456142, 4,654404450, 6396,15, 0,47965, 0,
52000,0,472269, 4,675652477, 6655,16, 0,43516, 0,
53000,0,536669, 4,700503812, 6932,14, 0,34284, 0,
54000,0,511362, 4,731803509, 7192,13, 0,50313, 0,
55000,0,534100, 4,755514378, 7437,11, 0,37085, 0,
56000,0,532130, 4,781519265, 7719,15, 0,45318, 0,
57000,0,536318, 4,811232227, 7970,16, 0,25653, 0,
58000,0,634001, 4,841074222, 8301,16, 0,42066, 0,
59000,0,538180, 4,870772306, 8577,15, 0,14561, 0,
60000,0,583933, 4,903448786, 8717,16, 0,10287, 0,
61000,0,615610, 4,934107049, 9000,16, 0,18357, 0,
62000,0,513484, 4,960164785, 9302,13, 0,38301, 0,
63000,0,549282, 4,989989357, 9787,15, 0,2625, 0,
64000,0,614700, 4,1024685337, 10030,16, 0,9206, 0,
65000,0,624334, 5,1056273018, 10398,15, 0,35467, 0,
66000,0,616977, 5,1087428220, 10682,13, 0,41578, 0,
67000,0,625197, 5,1125436818, 11157,16, 0,27558, 0,
68000,0,690033, 5,1154993598, 11566,10, 0,64478, 0,
69000,0,699892, 5,1189906600, 11698,12, 0,56818, 0,
70000,0,758285, 6,1224671060, 12066,12, 0,36382, 0,
71000,0,639837, 5,1260213575, 12431,15, 0,24210, 0,
72000,0,701852, 5,1289893415, 12691,15, 0,5889, 0,
73000,0,683773, 5,1332322940, 13160,16, 0,15723, 0,
74000,0,711584, 6,1366307892, 13510,16, 0,55917, 0,
75000,0,680276, 5,1414009719, 13907,17, 0,52146, 0,
76000,0,767894, 6,1448604106, 14244,15, 0,75180, 0,
77000,0,817719, 6,1479970564, 14611,15, 0,49196, 0,
78000,0,865993, 6,1517515170, 14968,16, 0,32878, 0,
79000,0,763760, 6,1557773205, 15289,16, 0,346, 0,
80000,0,790827, 6,1600907575, 15828,15, 0,72412, 0,
81000,0,789845, 6,1644392157, 16208,17, 0,71954, 0,
82000,0,813073, 6,1677082392, 16624,12, 0,32130, 0,
83000,0,760904, 6,1718261327, 17052,16, 0,56342, 0,
84000,0,778785, 6,1763948194, 17484,16, 0,37843, 0,
85000,0,862328, 6,1807297952, 17761,15, 0,15045, 0,
86000,0,866649, 7,1847770907, 18188,13, 0,29844, 0,
87000,0,850329, 7,1889384033, 18760,16, 0,79392, 0,
88000,0,834676, 7,1935806417, 18986,17, 0,34885, 0,
89000,0,879039, 7,1981075070, 19560,11, 0,38718, 0,
90000,0,910400, 7,2023090854, 19989,16, 0,5187, 0,
91000,0,1016332, 7,2063473082, 20532,15, 0,88635, 0,
92000,0,927939, 7,2119688972, 20964,17, 0,19523, 0,
93000,0,844771, 7,-2131608266, 21545,15, 0,77101, 0,
94000,0,881270, 7,-2092845754, 21843,17, 0,89657, 0,
95000,0,923520, 7,-2032455436, 22379,17, 0,57800, 0,
96000,0,997000, 7,-1993773344, 22844,16, 0,65894, 0,
97000,0,944985, 8,-1942407282, 23482,14, 0,38048, 0,
98000,0,944795, 7,-1888806667, 24029,16, 0,25627, 0,
99000,0,974218, 7,-1845108996, 24161,15, 0,93020, 0,
100000,0,1032435, 8,-1793971150, 24771,17, 0,61498, 0,
101000,0,1140982, 8,-1746591607, 25162,11, 0,21549, 0,
102000,0,1037440, 8,-1688508139, 25157,16, 0,82647, 0,
103000,0,1049913, 8,-1640756957, 25671,17, 0,82570, 0,
104000,0,1060382, 8,-1584301169, 26560,16, 0,31125, 0,
105000,0,1108945, 8,-1536673479, 27022,17, 0,71056, 0,
106000,0,966386, 8,-1479034537, 27777,16, 0,10752, 0,
107000,0,1178023, 8,-1433549234, 28280,16, 0,19924, 0,
108000,0,1209533, 8,-1368216416, 28735,16, 0,67996, 0,
109000,0,1053756, 9,-1318040656, 29363,14, 0,28664, 0,
110000,0,1050312, 9,-1269923364, 29801,14, 0,68392, 0,
111000,0,1127003, 9,-1218288097, 30621,13, 0,87108, 0,
112000,0,1180954, 9,-1156628990, 31039,17, 0,103696, 0,
113000,0,1173859, 9,-1092930878, 31103,17, 0,50767, 0,
114000,0,1294258, 9,-1049460128, 31314,15, 0,46981, 0,
115000,0,1182204, 9,-980998984, 32706,17, 0,102965, 0,
116000,0,1076322, 9,-937164370, 33497,17, 0,27463, 0,
117000,0,1205423, 9,-865481239, 33187,16, 0,33209, 0,
118000,0,1119469, 9,-819573117, 33625,17, 0,97831, 0,
119000,0,1403417, 10,-744961825, 35058,17, 0,90145, 0,
120000,0,1275467, 10,-697993570, 35425,17, 0,87022, 0,
121000,0,1241338, 10,-638636237, 35442,15, 0,23766, 0,
122000,0,1358703, 10,-571412149, 35935,13, 0,29530, 0,
123000,0,1261722, 10,-510761316, 37263,15, 0,42321, 0,
124000,0,1177900, 10,-443236957, 38349,16, 0,3292, 0,
125000,0,1270926, 10,-387717033, 39104,13, 0,63886, 0,
126000,0,1212235, 10,-325398855, 39893,17, 0,43429, 0,
127000,0,1365449, 10,-255570108, 40744,16, 0,109423, 0,
128000,0,1333911, 11,-198626494, 40719,13, 0,65826, 0,
129000,0,1309109, 11,-136988514, 41596,17, 0,50488, 0,
130000,0,1344163, 10,-72270891, 41117,17, 0,34183, 0,
131000,0,1180042, 10,3561401, 41698,16, 0,94668, 0,
132000,0,1344003, 11,59128339, 42398,16, 0,12874, 0,
133000,0,1340667, 11,127171622, 43029,16, 0,10183, 0,
134000,0,1452795, 11,193043746, 43766,16, 0,93485, 0,
135000,0,1367332, 11,266914017, 45348,16, 0,12624, 0,
136000,0,1283488, 11,327463312, 44892,16, 0,485, 0,
137000,0,1326337, 11,397173409, 45556,18, 0,70303, 0,
138000,0,1436007, 11,462596522, 46163,16, 0,51020, 0,
139000,0,1313633, 11,515399768, 46901,17, 0,7530, 0,
140000,0,1459794, 11,598219176, 47907,17, 0,23674, 0,
141000,0,1422737, 11,675120229, 48345,17, 0,29660, 0,
142000,0,1456537, 11,749862157, 49905,16, 0,43816, 0,
143000,0,1635619, 12,821842385, 49424,17, 0,92603, 0,
144000,0,1463988, 12,895270068, 50267,17, 0,72895, 0,
145000,0,1598822, 12,949261109, 50974,16, 0,65689, 0,
146000,0,1438923, 12,1034383297, 51669,16, 0,24527, 0,
147000,0,1566209, 12,1114462145, 52426,16, 0,110228, 0,
148000,0,1525099, 12,1184200166, 53278,17, 0,30086, 0,
149000,0,1434695, 12,1244614220, 54667,17, 0,100554, 0,
150000,0,1490988, 12,1328858380, 55468,15, 0,105544, 0,
151000,0,1639972, 12,1400450789, 55444,17, 0,125562, 0,
152000,0,1719487, 13,1478585443, 57545,17, 0,826, 0,
153000,0,1749019, 14,1555650058, 58589,17, 0,150475, 0,
154000,0,1626599, 12,1615333995, 59066,17, 0,122089, 0,
155000,0,1645743, 13,1717448419, 59613,16, 0,110838, 0,
156000,0,1656268, 13,1777108106, 60116,17, 0,119395, 0,
157000,0,1683198, 13,1855582395, 61572,17, 0,30377, 0,
158000,0,1648183, 13,1950551802, 61767,17, 0,138677, 0,
159000,0,1692476, 13,2026015745, 62392,17, 0,106675, 0,
160000,0,1673754, 13,2108942475, 63571,17, 0,31832, 0,
161000,0,1813671, 13,-2124246242, 65078,17, 0,48119, 0,
162000,0,1535532, 14,-2036980390, 65112,17, 0,67632, 0,
163000,0,1554350, 13,-1953645740, 65078,18, 0,90923, 0,
164000,0,1789908, 14,-1833324005, 66437,17, 0,94656, 0,
165000,0,1840932, 14,-1770187469, 67772,17, 0,65310, 0,
166000,0,1728970, 14,-1711503658, 68428,16, 0,83821, 0,
167000,0,1904874, 14,-1627671174, 69360,17, 0,98953, 0,
168000,0,1779943, 14,-1541897648, 70431,17, 0,27275, 0,
169000,0,1820451, 14,-1451497315, 71424,17, 0,79702, 0,
170000,0,2072875, 15,-1370444747, 71726,18, 0,1580, 0,
171000,0,1827313, 15,-1271422023, 73242,17, 0,140906, 0,
172000,0,1771631, 15,-1202574572, 74147,13, 0,86733, 0,
173000,0,1803216, 15,-1111195461, 74815,17, 0,26719, 0,
174000,0,1751652, 15,-1013501232, 76117,17, 0,94991, 0,
175000,0,1959946, 15,-924942057, 76411,18, 0,99769, 0,
176000,0,1896044, 15,-831977273, 77536,17, 0,23454, 0,
177000,0,1763010, 15,-733444506, 78102,16, 0,32068, 0,
178000,0,1835860, 15,-638550381, 79128,17, 0,43827, 0,
179000,0,1878097, 15,-577767121, 79857,15, 0,172721, 0,
180000,0,1872502, 15,-496167156, 81498,16, 0,110347, 0,
181000,0,1776993, 15,-387511338, 80788,18, 0,56357, 0,
182000,0,1815881, 15,-296906406, 80337,16, 0,8120, 0,
183000,0,1836792, 15,-236955306, 81129,17, 0,68554, 0,
184000,0,1995624, 15,-128040653, 82127,17, 0,114120, 0,
185000,0,1999841, 16,-55624314, 83302,18, 0,49493, 0,
186000,0,1869743, 15,55909383, 85093,17, 0,126005, 0,
187000,0,2027734, 16,156744728, 86656,18, 0,147102, 0,
188000,0,1988988, 16,263175294, 88235,17, 0,98838, 0,
189000,0,1958073, 16,332588028, 89168,16, 0,73436, 0,
190000,0,2045818, 16,451190290, 90339,16, 0,302, 0,
191000,0,2042607, 16,530723787, 90925,17, 0,139010, 0,
192000,0,2092315, 17,644676911, 91628,16, 0,18469, 0,
193000,0,2058847, 16,738413814, 94133,17, 0,87531, 0,
194000,0,2231038, 16,807901052, 94196,17, 0,184754, 0,
195000,0,2066545, 17,904406876, 95043,15, 0,73593, 0,
196000,0,1996011, 17,1023325230, 96960,18, 0,99379, 0,
197000,0,2160094, 17,1103983495, 96394,18, 0,119860, 0,
198000,0,2062962, 16,1222528952, 96177,17, 0,16337, 0,
199000,0,1937239, 16,1296036266, 100174,12, 0,171353, 0,
200000,0,2101719, 17,1403788853, 101661,16, 0,123029, 0,
201000,0,2124162, 18,1519974492, 102993,15, 0,176039, 0,
202000,0,2247640, 18,1606061511, 103357,17, 0,119983, 0,
203000,0,2199578, 17,1711475517, 104057,17, 0,164694, 0,
204000,0,2174702, 18,1802078582, 104409,18, 0,4878, 0,
205000,0,2394292, 18,1924538220, 105396,17, 0,12451, 0,
206000,0,2306493, 18,2015544154, 106406,18, 0,120715, 0,
207000,0,2149047, 18,2104716484, 107386,17, 0,34818, 0,
208000,0,2069524, 18,-2061733834, 108484,18, 0,171047, 0,
209000,0,2241614, 18,-1967170901, 109535,18, 0,103779, 0,
